date,start,max,min,end,dekidaka,owarine_syusei
"2012-01-04","3405","3420","3395","3410","2025600","3410"
"2012-01-05","3400","3400","3380","3380","1247800","3380"
"2012-01-06","3360","3370","3325","3330","2217000","3330"
"2012-01-10","3345","3360","3320","3320","1465400","3320"
"2012-01-11","3300","3315","3260","3275","3153500","3275"
"2012-01-12","3275","3275","3220","3230","3631100","3230"
"2012-01-13","3220","3235","3210","3215","4228700","3215"
"2012-01-16","3200","3205","3170","3170","2508800","3170"
"2012-01-17","3185","3190","3160","3170","2502100","3170"
"2012-01-18","3175","3195","3165","3185","2977800","3185"
"2012-01-19","3195","3230","3190","3225","4227300","3225"
"2012-01-20","3250","3260","3240","3245","2520900","3245"
"2012-01-23","3245","3250","3220","3245","2181900","3245"
"2012-01-24","3260","3305","3245","3300","4081400","3300"
"2012-01-25","3325","3340","3310","3330","2163500","3330"
"2012-01-26","3330","3340","3300","3310","2266700","3310"
"2012-01-27","3325","3340","3310","3315","2941100","3315"
"2012-01-30","3315","3335","3305","3325","1693600","3325"
"2012-01-31","3315","3325","3305","3310","1724500","3310"
"2012-02-01","3310","3325","3290","3295","2221200","3295"
"2012-02-02","3315","3345","3310","3335","2953300","3335"
"2012-02-03","3340","3345","3320","3320","1570200","3320"
"2012-02-06","3335","3335","3310","3315","1759700","3315"
"2012-02-07","3315","3340","3310","3340","1956200","3340"
"2012-02-08","3345","3350","3325","3350","1860600","3350"
"2012-02-09","3355","3360","3335","3340","1854500","3340"
"2012-02-10","3345","3355","3340","3350","1973400","3350"
"2012-02-13","3345","3360","3340","3345","1845000","3345"
"2012-02-14","3350","3385","3345","3370","1907000","3370"
"2012-02-15","3380","3450","3375","3435","3319900","3435"
"2012-02-16","3430","3445","3420","3425","1652200","3425"
"2012-02-17","3445","3495","3440","3475","2976700","3475"
"2012-02-20","3515","3520","3500","3505","1839100","3505"
"2012-02-21","3515","3520","3500","3515","2355500","3515"
"2012-02-22","3525","3570","3525","3560","3749300","3560"
"2012-02-23","3590","3610","3580","3600","3209400","3600"
"2012-02-24","3625","3630","3595","3600","2401000","3600"
"2012-02-27","3615","3655","3600","3645","2418500","3645"
"2012-02-28","3635","3660","3630","3660","2390300","3660"
"2012-02-29","3675","3705","3665","3670","3174800","3670"
"2012-03-01","3680","3695","3650","3660","2755600","3660"
"2012-03-02","3670","3695","3665","3690","2085100","3690"
"2012-03-05","3710","3725","3700","3705","2365400","3705"
"2012-03-06","3710","3720","3695","3715","2240400","3715"
"2012-03-07","3665","3690","3645","3655","4344600","3655"
"2012-03-08","3640","3670","3615","3665","3020200","3665"
"2012-03-09","3700","3710","3675","3700","5949500","3700"
"2012-03-12","3700","3720","3695","3700","2342400","3700"
"2012-03-13","3715","3720","3700","3700","2918200","3700"
"2012-03-14","3720","3720","3700","3700","1780100","3700"
"2012-03-15","3710","3730","3705","3715","2451700","3715"
"2012-03-16","3720","3725","3695","3700","4144800","3700"
"2012-03-19","3715","3720","3710","3720","1857000","3720"
"2012-03-21","3720","3735","3715","3725","2446600","3725"
"2012-03-22","3730","3755","3730","3755","2799400","3755"
"2012-03-23","3755","3780","3750","3770","2740100","3770"
"2012-03-26","3780","3790","3770","3770","2322700","3770"
"2012-03-27","3775","3780","3740","3765","4775900","3765"
"2012-03-28","3650","3670","3615","3635","5362700","3635"
"2012-03-29","3635","3645","3620","3645","2134100","3645"
"2012-03-30","3650","3650","3630","3645","2640200","3645"
"2012-04-02","3650","3650","3595","3595","2770000","3595"
"2012-04-03","3595","3600","3525","3535","3227500","3535"
"2012-04-04","3520","3530","3485","3495","3059400","3495"
"2012-04-05","3475","3540","3470","3510","3657000","3510"
"2012-04-06","3505","3555","3505","3550","2308900","3550"
"2012-04-09","3580","3590","3515","3515","2699500","3515"
