date,opening_quotation,high,low,closing_quotation,volume,closing_quotation_adjustment
"2012-01-04","2076","2093","2071","2081","230600","520.3"
"2012-01-05","2075","2094","2075","2087","66500","521.8"
"2012-01-06","2086","2132","2079","2122","146800","530.5"
"2012-01-10","2132","2155","2103","2104","161400","526"
"2012-01-11","2104","2111","2074","2092","179200","523"
"2012-01-12","2092","2092","2064","2067","54900","516.8"
"2012-01-13","2060","2090","2060","2074","110500","518.5"
"2012-01-16","2051","2055","2018","2045","76600","511.3"
"2012-01-17","2010","2062","2010","2056","87300","514"
"2012-01-18","2050","2083","2038","2066","88400","516.5"
"2012-01-19","2047","2060","2004","2010","137800","502.5"
"2012-01-20","2011","2022","1950","1962","355400","490.5"
"2012-01-23","2000","2004","1966","1980","162800","495"
"2012-01-24","2008","2008","1972","1989","154100","497.3"
"2012-01-25","1998","2007","1989","2004","77500","501"
"2012-01-26","2000","2005","1990","1997","107300","499.3"
"2012-01-27","2009","2040","1994","2033","73900","508.3"
"2012-01-30","2064","2078","2042","2057","97500","514.3"
"2012-01-31","2078","2080","2051","2057","85200","514.3"
"2012-02-01","2034","2060","2031","2047","45400","511.8"
"2012-02-02","2035","2057","2035","2036","41000","509"
"2012-02-03","2048","2067","2048","2052","48600","513"
"2012-02-06","2068","2076","2038","2051","64500","512.8"
"2012-02-07","2052","2063","2049","2050","29900","512.5"
"2012-02-08","2040","2048","2036","2048","38100","512"
"2012-02-09","2036","2043","2031","2039","87800","509.8"
"2012-02-10","2057","2057","2031","2047","64700","511.8"
"2012-02-13","2060","2073","2040","2045","55800","511.3"
"2012-02-14","2061","2083","2042","2081","111900","520.3"
"2012-02-15","2065","2065","1993","1995","342400","498.8"
"2012-02-16","1979","1980","1951","1970","301000","492.5"
"2012-02-17","1979","2010","1964","2009","183700","502.3"
"2012-02-20","2015","2025","2010","2015","132600","503.8"
"2012-02-21","2011","2030","2011","2029","97500","507.3"
"2012-02-22","2031","2055","2006","2020","164600","505"
"2012-02-23","2026","2050","2021","2047","126300","511.8"
"2012-02-24","2050","2075","2048","2074","124000","518.5"
"2012-02-27","2089","2089","2055","2070","143100","517.5"
"2012-02-28","2043","2072","2043","2063","96900","515.8"
"2012-02-29","2085","2118","2071","2114","169600","528.5"
"2012-03-01","2101","2114","2086","2101","99200","525.3"
"2012-03-02","2120","2150","2107","2136","167300","534"
"2012-03-05","2135","2165","2130","2149","81200","537.3"
"2012-03-06","2150","2210","2149","2197","169600","549.3"
"2012-03-07","2186","2219","2173","2219","138500","554.8"
"2012-03-08","2207","2219","2197","2216","70900","554"
"2012-03-09","2244","2244","2205","2214","132900","553.5"
"2012-03-12","2214","2216","2178","2187","104000","546.8"
"2012-03-13","2187","2193","2162","2172","117200","543"
"2012-03-14","2199","2199","2169","2179","156400","544.8"
"2012-03-15","2169","2196","2160","2163","131500","540.8"
"2012-03-16","2189","2196","2183","2189","112700","547.3"
"2012-03-19","2181","2217","2179","2203","95800","550.8"
"2012-03-21","2215","2229","2201","2219","110800","554.8"
"2012-03-22","2229","2258","2218","2252","113200","563"
"2012-03-23","2236","2268","2229","2255","83000","563.8"
"2012-03-26","2255","2261","2240","2253","79100","563.3"
"2012-03-27","2266","2292","2246","2287","95300","571.8"
"2012-03-28","2268","2302","2232","2300","176100","575"
"2012-03-29","2300","2315","2269","2313","150300","578.3"
"2012-03-30","2354","2475","2354","2470","403500","617.5"
"2012-04-02","2453","2477","2403","2424","284700","606"
"2012-04-03","2425","2430","2380","2385","169200","596.3"
"2012-04-04","2386","2386","2324","2353","278700","588.3"
"2012-04-05","2347","2378","2346","2359","136100","589.8"
"2012-04-06","2342","2354","2316","2347","130300","586.8"
"2012-04-09","2301","2346","2301","2334","71600","583.5"
"2012-04-10","2334","2374","2328","2360","112500","590"
"2012-04-11","2338","2380","2329","2372","80900","593"
"2012-04-12","2380","2380","2351","2369","80500","592.3"
"2012-04-13","2355","2421","2355","2413","112100","603.3"
"2012-04-16","2380","2425","2379","2417","116200","604.3"
"2012-04-17","2435","2451","2407","2439","118100","609.8"
"2012-04-18","2439","2467","2424","2467","97700","616.8"
"2012-04-19","2434","2442","2428","2435","64800","608.8"
"2012-04-20","2448","2480","2446","2478","125300","619.5"
"2012-04-23","2445","2470","2426","2428","185400","607"
"2012-04-24","2413","2430","2375","2412","124800","603"
"2012-04-25","2444","2483","2437","2480","159300","620"
"2012-04-26","2496","2496","2445","2469","117500","617.3"
"2012-04-27","2479","2479","2412","2435","113700","608.8"
"2012-05-01","2409","2449","2390","2397","193400","599.3"
"2012-05-02","2428","2496","2412","2432","255700","608"
"2012-05-07","2384","2415","2367","2400","244400","600"
"2012-05-08","2388","2425","2373","2417","156300","604.3"
"2012-05-09","2395","2442","2384","2425","226900","606.3"
"2012-05-10","2435","2494","2425","2455","282200","613.8"
"2012-05-11","2421","2430","2307","2329","276200","582.3"
"2012-05-14","2300","2333","2280","2300","176300","575"
"2012-05-15","2257","2324","2256","2291","161900","572.8"
"2012-05-16","2283","2299","2237","2253","134700","563.3"
"2012-05-17","2260","2298","2259","2278","169600","569.5"
"2012-05-18","2230","2250","2202","2210","194800","552.5"
"2012-05-21","2170","2229","2168","2175","172500","543.8"
"2012-05-22","2172","2200","2143","2186","206100","546.5"
"2012-05-23","2178","2196","2163","2169","158400","542.3"
"2012-05-24","2153","2180","2104","2140","152000","535"
"2012-05-25","2112","2180","2112","2149","79700","537.3"
"2012-05-28","2158","2179","2129","2135","64800","533.8"
"2012-05-29","2122","2138","2104","2117","72400","529.3"
"2012-05-30","2110","2117","2052","2093","96500","523.3"
"2012-05-31","2076","2120","2054","2120","241300","530"
"2012-06-01","2120","2174","2112","2170","229400","542.5"
"2012-06-04","2151","2212","2133","2193","201400","548.3"
"2012-06-05","2196","2207","2181","2201","171300","550.3"
"2012-06-06","2222","2253","2208","2215","171300","553.8"
"2012-06-07","2260","2311","2250","2285","209300","571.3"
"2012-06-08","2300","2304","2267","2300","168900","575"
"2012-06-11","2297","2299","2266","2281","127100","570.3"
"2012-06-12","2270","2274","2227","2234","98200","558.5"
"2012-06-13","2233","2267","2225","2254","95500","563.5"
"2012-06-14","2241","2275","2229","2239","59000","559.8"
"2012-06-15","2280","2364","2280","2352","230900","588"
"2012-06-18","2351","2385","2335","2347","138000","586.8"
"2012-06-19","2340","2384","2340","2373","120800","593.3"
"2012-06-20","2376","2403","2372","2391","93900","597.8"
"2012-06-21","2389","2396","2370","2383","152400","595.8"
"2012-06-22","2383","2390","2359","2380","110500","595"
"2012-06-25","2405","2411","2379","2390","98700","597.5"
"2012-06-26","2390","2412","2371","2380","136000","595"
"2012-06-27","2382","2408","2371","2402","78000","600.5"
"2012-06-28","2402","2449","2402","2408","148200","602"
"2012-06-29","2423","2473","2414","2463","106700","615.8"
"2012-07-02","2480","2480","2411","2421","133400","605.3"
"2012-07-03","2429","2491","2429","2486","130000","621.5"
"2012-07-04","2480","2508","2477","2483","81100","620.8"
"2012-07-05","2495","2506","2444","2449","130500","612.3"
"2012-07-06","2456","2496","2442","2480","160900","620"
"2012-07-09","2481","2502","2469","2493","182000","623.3"
"2012-07-10","2495","2567","2495","2551","265600","637.8"
"2012-07-11","2550","2564","2526","2560","180000","640"
"2012-07-12","2550","2550","2516","2538","124000","634.5"
"2012-07-13","2516","2541","2503","2514","114100","628.5"
"2012-07-17","2519","2537","2490","2511","84100","627.8"
"2012-07-18","2510","2549","2502","2510","85900","627.5"
"2012-07-19","2501","2520","2470","2504","144700","626"
"2012-07-20","2509","2510","2463","2467","71600","616.8"
"2012-07-23","2460","2508","2453","2489","134400","622.3"
"2012-07-24","2497","2529","2464","2501","149900","625.3"
"2012-07-25","2525","2594","2496","2572","241300","643"
"2012-07-26","2593","2635","2559","2595","269300","648.8"
"2012-07-27","2601","2620","2559","2577","179900","644.3"
"2012-07-30","2578","2605","2550","2603","322600","650.8"
"2012-07-31","2573","2587","2460","2557","360300","639.3"
"2012-08-01","2550","2709","2548","2693","310800","673.3"
"2012-08-02","2693","2714","2650","2670","139200","667.5"
"2012-08-03","2647","2688","2617","2654","129400","663.5"
"2012-08-06","2665","2714","2652","2709","146600","677.3"
"2012-08-07","2683","2691","2649","2658","141200","664.5"
"2012-08-08","2659","2685","2615","2624","140900","656"
"2012-08-09","2632","2644","2597","2640","90100","660"
"2012-08-10","2619","2643","2613","2635","37400","658.8"
"2012-08-13","2636","2659","2619","2658","74100","664.5"
"2012-08-14","2654","2709","2633","2699","89100","674.8"
"2012-08-15","2708","2735","2694","2718","69400","679.5"
"2012-08-16","2731","2741","2664","2686","69900","671.5"
"2012-08-17","2696","2703","2661","2680","70300","670"
"2012-08-20","2681","2714","2671","2692","38300","673"
"2012-08-21","2712","2758","2710","2748","60200","687"
"2012-08-22","2700","2739","2694","2711","91000","677.8"
"2012-08-23","2711","2758","2710","2751","83500","687.8"
"2012-08-24","2749","2753","2725","2744","69300","686"
"2012-08-27","2745","2752","2722","2722","51200","680.5"
"2012-08-28","2702","2709","2670","2678","105700","669.5"
"2012-08-29","2700","2717","2696","2706","70000","676.5"
"2012-08-30","2684","2739","2680","2730","85800","682.5"
"2012-08-31","2742","2758","2731","2740","93100","685"
"2012-09-03","2742","2753","2727","2738","89500","684.5"
"2012-09-04","2734","2753","2707","2722","86000","680.5"
"2012-09-05","2695","2715","2689","2694","42500","673.5"
"2012-09-06","2695","2695","2662","2674","68400","668.5"
"2012-09-07","2750","2757","2615","2629","243900","657.3"
"2012-09-10","2625","2685","2598","2679","179200","669.8"
"2012-09-11","2650","2692","2640","2688","71900","672"
"2012-09-12","2670","2715","2661","2684","89400","671"
"2012-09-13","2660","2682","2647","2657","116800","664.3"
"2012-09-14","2649","2653","2555","2560","227700","640"
"2012-09-18","2534","2608","2519","2600","382600","650"
"2012-09-19","2550","2585","2525","2531","197300","632.8"
"2012-09-20","2500","2563","2491","2538","193300","634.5"
"2012-09-21","2520","2575","2520","2564","124400","641"
